angle_degrees,velocity_ms,decay_coeff_real_a0,decay_coeff_imag_a2,decay_coeff_real_a1,decay_coeff_real_a2
-90.0,3260.6676004146493,0.09751969192255283,0.5144712319450371,0.6490442267059549,0.6490442267059549
-88.18181818181817,3265.414587485945,0.09314395980975727,0.5178292878199725,0.6357651855997076,0.6357651855997076
-86.36363636363636,3269.9943125862605,0.08838207928795233,0.5209370785653593,0.6231594869336715,0.6231594869336715
-84.54545454545455,3274.3653472500177,0.08321884007893204,0.5238309068226368,0.6112152427076991,0.6112152427076991
-82.72727272727273,3278.4846576450773,0.07764625053123508,0.5265421748307737,0.5999219992375631,0.5999219992375631
-80.9090909090909,3282.308842501948,0.07166649418525813,0.5290977973162752,0.5892709878747372,0.5892709878747372
-79.0909090909091,3285.7958976416144,0.06529548626192963,0.5315206185416166,0.5792552350029763,0.5792552350029763
-77.27272727272727,3288.907564374854,0.05856699767324329,0.5338298428601772,0.5698695129644089,0.5698695129644089
-75.45454545454545,3291.612251162384,0.05153724367951248,0.5360414866175346,0.5611101208637839,0.5611101208637839
-73.63636363636363,3293.888419076116,0.044289718110467134,0.5381688562100218,0.5529744991699211,0.5529744991699211
-71.81818181818183,3295.728169537521,0.03693993879256519,0.5402230529439275,0.5454607106989663,0.5454607106989663
-70.0,3297.1405911270926,0.029639634230111733,0.5422135010003813,0.5385668595525904,0.5385668595525904
-68.18181818181819,3298.154226485482,0.022579747635696906,0.5441484916648885,0.5322905663834485,0.5322905663834485
-66.36363636363636,3298.817833118809,0.015991505765152948,0.5460357364209406,0.5266286678478005,0.5266286678478005
-64.54545454545453,3299.1984926804016,0.01014455477813442,0.5478829240541755,0.5215773459748966,0.5215773459748966
-62.72727272727273,3299.3760929377977,0.005340993782073034,0.5496982815130675,0.5171329121092247,0.5171329121092247
-60.909090909090914,3299.4333958235297,0.001903678815825021,0.5514911409505832,0.5132934391159065,0.5132934391159065
-59.090909090909086,3299.4414332190236,0.00015700338887892414,0.553272509202983,0.510061326387973,0.510061326387973
-57.27272727272727,3299.44114685952,0.00039858888248685113,0.5550556105819321,0.5074466271089234,0.5074466271089234
-55.45454545454545,3299.4242126789595,0.0028616422760839866,0.5568563201208467,0.5054705218783566,0.5054705218783566
-53.63636363636363,3299.3186558304524,0.0076705602170803544,0.5586933258735524,0.5041677344118,0.5041677344118
-51.81818181818182,3298.9868386578178,0.01479976438181536,0.560587792615009,0.5035862516765645,0.5035862516765645
-50.0,3298.242111944967,0.02404873205591554,0.5625623254841965,0.5037830112083864,0.5037830112083864
-48.18181818181818,3296.8838173857416,0.0350488273456715,0.5646392271258248,0.5048157117103013,0.5048157117103013
-46.36363636363636,3294.7405310049476,0.047307106838462606,0.5668383638916993,0.5067331062865391,0.5067331062865391
-44.54545454545454,3291.7054961018575,0.06027644182193974,0.5691751923676469,0.5095674411277448,0.5095674411277448
-42.72727272727272,3287.751969173049,0.07342918454522716,0.571659429805188,0.5133317716026043,0.5133317716026043
-40.90909090909091,3282.9270665312088,0.08631283316247647,0.5742945149431866,0.5180223429298865,0.5180223429298865
-39.090909090909086,3277.331971087122,0.09857813848344636,0.5770776645642404,0.5236240806447074,0.5236240806447074
-37.272727272727266,3271.098643459035,0.10998261100929382,0.5800001954863307,0.5301167430186572,0.5301167430186572
-35.45454545454545,3264.3700096728107,0.1203784998614695,0.5830478426811553,0.5374800718034483,0.5374800718034483
-33.63636363636363,3257.2862339567846,0.12969417286024806,0.5862009349120356,0.5456973306603404,0.5456973306603404
-31.818181818181817,3249.9767518462677,0.13791487630289392,0.5894343928968071,0.5547573242865775,0.5547573242865775
-29.999999999999993,3242.5565686816317,0.14506585910885972,0.5927175662178968,0.5646552694037201,0.5646552694037201
-28.18181818181818,3235.1252591613847,0.15119883450168753,0.5960139384057489,0.575392901290072,0.575392901290072
-26.363636363636356,3227.767463940336,0.15638170708163635,0.5992807254893777,0.586978107848632,0.586978107848632
-24.545454545454543,3220.5540931378155,0.16069107672745173,0.6024683853826461,0.5994242781307842,0.5994242781307842
-22.72727272727272,3213.5437712845346,0.16420694364461935,0.6055200497922565,0.6127494684596101,0.6127494684596101
-20.90909090909091,3206.7842783007945,0.16700908717243518,0.6083708884599829,0.6269754309545947,0.6269754309545947
-19.090909090909083,3200.3138733385003,0.16917468464019847,0.6109474173169763,0.6421265124347223,0.6421265124347223
-17.272727272727273,3194.1624627832434,0.170776830909789,0.6131667668531141,0.6582284094170043,0.6582284094170043
-15.454545454545448,3188.3526117860542,0.17188370067627554,0.6149359341298886,0.6753067523645095,0.6753067523645095
-13.636363636363637,3182.900420485265,0.1725581574877947,0.6161510510024588,0.6933854851908113,0.6933854851908113
-11.818181818181813,3177.816286438598,0.17285766879096134,0.6166967121002147,0.7124850058030932,0.7124850058030932
-10.000000000000002,3173.105579447707,0.17283442097720078,0.6164454185968506,0.7326200352814344,0.7326200352814344
-8.181818181818176,3168.7692521749195,0.17253555789419114,0.6152572074512749,0.753797190632445,0.753797190632445
-6.363636363636366,3164.8044029194807,0.1720034902381288,0.6129795498348917,0.776012249384522,0.776012249384522
-4.545454545454541,3161.204808571619,0.17127623559599112,0.6094476155149952,0.7992471120600046,0.7992471120600046
-2.7272727272727173,3157.9614281935746,0.17038776949446105,0.6044850100447898,0.8234664980483771,0.8234664980483771
-0.9090909090909057,3155.0628964499483,0.16936836252067866,0.5979050954040219,0.8486144404604111,0.8486144404604111
0.9090909090909185,3152.4959937320837,0.16824490306722423,0.5895129981750201,0.8746106954922322,0.8746106954922322
2.72727272727273,3150.246105126434,0.1670411927474716,0.5791083861737788,0.9013472271858294,0.9013472271858294
4.545454545454554,3148.297658674304,0.16577821669522672,0.5664890473984103,0.9286849895731558,0.9286849895731558
6.363636363636366,3146.634540567802,0.16447438788536245,0.5514552240811916,0.9564512838735493,0.9564512838735493
8.18181818181819,3145.2404879721958,0.16314576421254812,0.5338145265119166,0.9844380186392085,0.9844380186392085
10.000000000000002,3144.0994471152017,0.1618062447184837,0.5133870570199937,1.0124012382213374,1.0124012382213374
11.818181818181825,3143.195904467932,0.1604677412215957,0.4900100815892341,1.040062286991196,1.040062286991196
